nik,nama,tempatLahir,tanggalLahir,jenisKelamin,agama,pendidikan,pekerjaan,statusPerkawinan,alamat,rt,rw,desa,kecamatan,kabupaten,provinsi,golonganDarah,statusKependudukan
3201010101010111,Putra Wijaya,Bekasi,2000-07-12,Laki-laki,Islam,SMP,Pelajar,Belum Menikah,Jl. Raya Merdeka No. 233,07,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010112,Melati Sari,Tangerang,2001-02-28,Perempuan,Islam,SMP,Pelajar,Belum Menikah,Jl. Raya Merdeka No. 234,08,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif
3201010101010113,Rizki Pratama,Depok,1987-09-14,Laki-laki,Islam,S1,Arsitek,Menikah,Jl. Raya Merdeka No. 235,08,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010114,Winda Lestari,Cirebon,1993-05-01,Perempuan,Islam,SMA,Perawat,Menikah,Jl. Raya Merdeka No. 236,08,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010115,Supriyanto,Karawang,1978-12-18,Laki-laki,Islam,SD,Petani,Menikah,Jl. Raya Merdeka No. 237,09,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010116,Siti Fatimah,Tasikmalaya,1981-06-04,Perempuan,Islam,SD,Ibu Rumah Tangga,Menikah,Jl. Raya Merdeka No. 238,09,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif
3201010101010117,Doni Kurniawan,Ciamis,1985-01-21,Laki-laki,Islam,SMK,Mekanik,Menikah,Jl. Raya Merdeka No. 239,09,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010118,Ratna Sari,Purwakarta,1988-08-08,Perempuan,Islam,SMA,Karyawan,Menikah,Jl. Raya Merdeka No. 240,10,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010119,Eko Wijaya,Subang,1982-03-25,Laki-laki,Islam,SD,Buruh,Menikah,Jl. Raya Merdeka No. 241,10,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010120,Desi Lestari,Indramayu,1986-10-11,Perempuan,Islam,SMA,Ibu Rumah Tangga,Menikah,Jl. Raya Merdeka No. 242,10,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif
3201010101010121,Anton Setiawan,Bogor,1996-04-28,Laki-laki,Kristen,S1,Insinyur,Belum Menikah,Jl. Raya Merdeka No. 243,11,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010122,Lisa Dewi,Bandung,1997-11-14,Perempuan,Kristen,SMA,Guru,Belum Menikah,Jl. Raya Merdeka No. 244,11,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010123,Budi Kurniawan,Surabaya,1990-07-01,Laki-laki,Islam,SMK,Wiraswasta,Menikah,Jl. Raya Merdeka No. 245,11,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010124,Sinta Permata,Yogyakarta,1994-02-17,Perempuan,Islam,S1,Dokter,Menikah,Jl. Raya Merdeka No. 246,12,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif
3201010101010125,Agung Wijaya,Medan,1992-09-03,Laki-laki,Islam,SMA,Sopir,Menikah,Jl. Raya Merdeka No. 247,12,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010126,Rina Sari,Palembang,1998-05-20,Perempuan,Islam,SMA,Karyawan,Belum Menikah,Jl. Raya Merdeka No. 248,12,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010127,Adi Nugroho,Makassar,1989-12-06,Laki-laki,Islam,SD,Petani,Menikah,Jl. Raya Merdeka No. 249,13,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010128,Mira Lestari,Denpasar,1995-08-23,Perempuan,Hindu,SMA,Pedagang,Belum Menikah,Jl. Raya Merdeka No. 250,13,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif
3201010101010129,Surya Kurniawan,Semarang,1991-03-10,Laki-laki,Islam,SMK,Tukang,Menikah,Jl. Raya Merdeka No. 251,13,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010130,Dian Sari,Malang,1999-10-27,Perempuan,Islam,SMA,Mahasiswa,Belum Menikah,Jl. Raya Merdeka No. 252,14,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010131,Rudi Pratama,Solo,1993-06-13,Laki-laki,Islam,S1,Pengusaha,Menikah,Jl. Raya Merdeka No. 253,14,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010132,Nina Dewi,Pekanbaru,1996-01-30,Perempuan,Islam,S2,Dosen,Menikah,Jl. Raya Merdeka No. 254,14,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif
3201010101010133,Indra Setiawan,Banjarmasin,1994-08-16,Laki-laki,Islam,SMK,Sopir,Menikah,Jl. Raya Merdeka No. 255,15,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010134,Sari Permata,Pontianak,1997-04-02,Perempuan,Islam,SMA,Karyawan,Belum Menikah,Jl. Raya Merdeka No. 256,15,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010135,Bambang Wijaya,Balikpapan,1990-11-19,Laki-laki,Islam,SD,Petani,Menikah,Jl. Raya Merdeka No. 257,15,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010136,Ani Sari,Manado,1998-07-05,Perempuan,Kristen,S1,Perawat,Belum Menikah,Jl. Raya Merdeka No. 258,16,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif
3201010101010137,Hendri Kurniawan,Padang,1992-02-22,Laki-laki,Islam,SMA,Wiraswasta,Menikah,Jl. Raya Merdeka No. 259,16,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010138,Dewi Lestari,Jambi,1995-09-08,Perempuan,Islam,SMA,Ibu Rumah Tangga,Belum Menikah,Jl. Raya Merdeka No. 260,16,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010139,Irfan Wijaya,Banda Aceh,1993-05-25,Laki-laki,Islam,S1,Insinyur,Menikah,Jl. Raya Merdeka No. 261,17,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010140,Nurul Sari,Mataram,1996-12-11,Perempuan,Islam,SMA,Guru,Menikah,Jl. Raya Merdeka No. 262,17,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif
3201010101010141,Putra Kurniawan,Bekasi,2001-08-28,Laki-laki,Islam,SMP,Pelajar,Belum Menikah,Jl. Raya Merdeka No. 263,17,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010142,Melati Dewi,Tangerang,2002-03-15,Perempuan,Islam,SMP,Pelajar,Belum Menikah,Jl. Raya Merdeka No. 264,18,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010143,Rizki Wijaya,Depok,1988-10-01,Laki-laki,Islam,S1,Arsitek,Menikah,Jl. Raya Merdeka No. 265,18,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010144,Winda Sari,Cirebon,1994-05-18,Perempuan,Islam,SMA,Perawat,Menikah,Jl. Raya Merdeka No. 266,18,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif
3201010101010145,Supriyadi,Karawang,1979-01-04,Laki-laki,Islam,SD,Petani,Menikah,Jl. Raya Merdeka No. 267,19,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010146,Siti Aisyah,Tasikmalaya,1982-08-21,Perempuan,Islam,SD,Ibu Rumah Tangga,Menikah,Jl. Raya Merdeka No. 268,19,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
3201010101010147,Doni Setiawan,Ciamis,1986-04-07,Laki-laki,Islam,SMK,Mekanik,Menikah,Jl. Raya Merdeka No. 269,19,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,O,Aktif
3201010101010148,Ratna Dewi,Purwakarta,1989-11-24,Perempuan,Islam,SMA,Karyawan,Menikah,Jl. Raya Merdeka No. 270,20,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,AB,Aktif
3201010101010149,Eko Prasetyo,Subang,1983-07-10,Laki-laki,Islam,SD,Buruh,Menikah,Jl. Raya Merdeka No. 271,20,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,A,Aktif
3201010101010150,Desi Ratnasari,Indramayu,1987-02-26,Perempuan,Islam,SMA,Ibu Rumah Tangga,Menikah,Jl. Raya Merdeka No. 272,20,04,Desa Sukamaju,Kecamatan Sukajaya,Kabupaten Bogor,Jawa Barat,B,Aktif
